<details> <summary> <b>luci new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/immortalwrt/luci/compare/d9da99a2c41fe85f3d3eadaf2f73ce0e8e94a744...bf7abdefd3cc9036983285f839ab9f1b2ce69235)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
bf7abdefd3|Tianling Shen|Mon Jun 8 10:51:22 2026 +0800|Merge Official Source
e99e132622|Hannu Nyman|Sun Jun 7 21:38:23 2026 +0300|treewide: backport translations from master
06be2351a5|Hannu Nyman|Thu Jun 4 21:43:27 2026 +0300|luci-base: update timezone data to 2026b
edcd12da7e|Hannu Nyman|Thu Jun 4 21:43:14 2026 +0300|luci-lua-runtime: update timezone data to 2026b
2f0c57563b|Hannu Nyman|Thu Jun 4 21:42:57 2026 +0300|build: modify zoneinfo2lua.pl to handle luci-lua-runtime
df164132f2|Dirk Brenken|Thu Jun 4 17:47:23 2026 +0200|luci-app-adblock: release 4.5.6-1
1444ba3a64|Tianling Shen|Tue Jun 2 15:18:34 2026 +0800|Merge Official Source
17deb6ec07|Dirk Brenken|Sun May 31 18:42:29 2026 +0200|luci-app-banip: update 1.8.8-5
4be873b248|Dirk Brenken|Tue May 26 17:19:57 2026 +0200|luci-app-adblock: update 4.5.5-6
012fc3fc3f|Mario Andrés Pérez|Mon Apr 27 21:32:14 2026 +0200|luci-app-package-manager: handle versioned provides from apk query
51477ec783|Christian Korber|Fri May 22 12:03:46 2026 +0200|luci-app-firewall: keep enabled on cloning
e429d2c307|Christian Korber|Fri May 22 12:00:27 2026 +0200|luci-base: keep not yet rendered clone elements
2f8e9fdcce|Christian Korber|Thu May 21 16:20:18 2026 +0200|luci-base: fix order of clone bug
</details>
